site_id,latitude,longitude,start_date,end_date,status,timestamp,pm10,pm2_5,aqi
2.80966E+12,-37.8176048,144.9621837,2023-09-07,2026-09-07,active,2026-04-12T18:00,6.0,4.1,21
3516591639627/A,-37.8309834,144.9404751,2023-09-06,2026-09-06,active,2026-04-12T18:00,6.0,4.1,21
9.51391E+12,-37.8121554,144.9634568,2023-09-06,2026-09-06,active,2026-04-12T18:00,6.0,4.1,21
1164521030563/A,-37.8121307,144.9584916,2023-08-22,2026-08-22,active,2026-04-12T18:00,6.0,4.1,21
3.1399E+12,-37.8145283,144.9705094,2023-09-08,2026-09-08,active,2026-04-12T18:00,6.0,4.1,21
1292131734091/V,-37.8140943,144.9689782,2023-09-01,2026-09-01,active,2026-04-12T18:00,6.0,4.1,21
4.89561E+12,-37.8139688,144.9724346,2023-09-01,2026-09-01,active,2026-04-12T18:00,6.0,4.1,21
6.79698E+12,-37.8145283,144.9705094,2023-08-18,2026-08-18,active,2026-04-12T18:00,6.0,4.1,21
1509856548122/A,-37.8162533,144.9569167,2023-08-17,2026-08-17,active,2026-04-12T18:00,6.0,4.1,21
1.82597E+12,-37.8121554,144.9634568,2023-08-16,2026-08-16,active,2026-04-12T18:00,6.0,4.1,21
6.12722E+12,-37.8121554,144.9634568,2023-08-16,2026-08-16,active,2026-04-12T18:00,6.0,4.1,21
4896052521144/2B,-37.8159953,144.9649134,2023-08-01,2026-08-01,active,2026-04-12T18:00,6.0,4.1,21
4896052521144/2A,-37.8159953,144.9649134,2023-08-01,2026-08-01,active,2026-04-12T18:00,6.0,4.1,21
9.01132E+12,-37.8188041,144.9503704,2023-08-15,2026-08-15,active,2026-04-12T18:00,6.0,4.1,21
9.01132E+12,-37.8187641,144.9472974,2023-08-15,2026-08-15,active,2026-04-12T18:00,6.0,4.1,21
5.27252E+12,-37.8121554,144.9634568,2023-08-02,2026-08-02,active,2026-04-12T18:00,6.0,4.1,21
3.82586E+12,-37.8137251,144.9600538,2023-08-01,2026-08-01,active,2026-04-12T18:00,6.0,4.1,21
6.65951E+12,-37.8226669,144.9688984,2023-06-16,2026-06-16,active,2026-04-12T18:00,6.0,4.1,21
4.89962E+12,-37.8158966,144.9585893,2023-07-21,2026-07-21,active,2026-04-12T18:00,6.0,4.1,21
8.99586E+12,-37.8158966,144.9585893,2023-06-01,2025-02-17,inactive,2026-04-12T18:00,6.0,4.1,21
8995858803487/VA,-37.8158966,144.9585893,2023-06-01,2025-02-17,inactive,2026-04-12T18:00,6.0,4.1,21
1.74062E+12,-37.8104263,144.9589041,2023-07-18,2026-07-18,active,2026-04-12T18:00,6.0,4.1,21
